Hypothesis,Feeding,Breeding,Method,Direction,Estimate,CV,lowerCI,upperCI,InputData
B1F2,RUS+WAL,Asia,Mark-Recapture,FeedingtoBreeding,0.914,0.039,,,
B1F2,RUS+WAL,Hawaii,Mark-Recapture,FeedingtoBreeding,0.085,0.41,,,
B1F2,RUS+WAL,Mexico,Mark-Recapture,FeedingtoBreeding,0.001,8.373,,,
B1F2,RUS+WAL,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F2,EAL+BER+WGOA,Asia,Mark-Recapture,FeedingtoBreeding,0.018,0.424,,,
B1F2,EAL+BER+WGOA,Hawaii,Mark-Recapture,FeedingtoBreeding,0.899,0.022,,,
B1F2,EAL+BER+WGOA,Mexico,Mark-Recapture,FeedingtoBreeding,0.084,0.222,,,
B1F2,EAL+BER+WGOA,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F2,NGOA,Asia,Mark-Recapture,FeedingtoBreeding,0.002,1.005,,,
B1F2,NGOA,Hawaii,Mark-Recapture,FeedingtoBreeding,0.899,0.023,,,
B1F2,NGOA,Mexico,Mark-Recapture,FeedingtoBreeding,0.099,0.211,,,
B1F2,NGOA,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F2,SEA+NBC,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F2,SEA+NBC,Hawaii,Mark-Recapture,FeedingtoBreeding,0.977,0.006,,,
B1F2,SEA+NBC,Mexico,Mark-Recapture,FeedingtoBreeding,0.024,0.265,,,
B1F2,SEA+NBC,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F2,SBC+WA,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F2,SBC+WA,Hawaii,Mark-Recapture,FeedingtoBreeding,0.694,0.13,,,
B1F2,SBC+WA,Mexico,Mark-Recapture,FeedingtoBreeding,0.248,0.283,,,
B1F2,SBC+WA,Central_Am,Mark-Recapture,FeedingtoBreeding,0.058,0.988,,,
