"Year1","Year2","VarCo","Estimate","CV","Area","Rel","Use","Add.cv","Hypothesis","Index","SensUse","Component","Reference"
2002,2002,1,16875,0.165093612,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2003,2003,1,19065,0.089263265,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2004,2004,1,19340,0.072297801,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2005,2005,1,21063,0.039984014,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2006,2006,1,21095,0.075697659,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2007,2007,1,24915,0.080437572,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2008,2008,1,26456,0.098305401,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2009,2009,1,26455,0.100951669,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2010,2010,1,23007,0.105570883,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2011,2011,1,29636,0.104315019,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2012,2012,1,33488,0.112164278,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2013,2013,1,31701,0.104510745,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2014,2014,1,31243,0.095147257,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2015,2015,1,33260,0.104092715,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2016,2016,1,29852,0.098255144,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2017,2017,1,28429,0.100628339,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2018,2018,1,26731,0.088665383,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2019,2019,1,25671,0.079730589,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2020,2020,1,28706,0.087599409,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
2021,2021,1,26662,0.081742567,"Total","Abs","Yes","0","All",1,"No",0,"Cheeseman et al 2024"
1990,1993,-1,391,0.179,"Asia","Abs","Yes","0","All",2,"No",1,"Calambokidis et al. 1997"
2004,2006,-1,1107,0.09,"Asia","Abs","Yes","0","B2F1",2,"S1",1,"Wade et al. SC/68d/IA03"
1980,1983,-1,1407,0.1,"Hawaii","Abs","Yes","0","All",3,"No",1,"Baker and Herman 1987"
1991,1993,-1,4000,0.08,"Hawaii","Abs","Yes","0","All",3,"No",1,"Calambokidis and Barlow 2017 A17/NP10"
2004,2006,-1,11998,0.04,"Hawaii","Abs","Yes","0","B2F1",3,"S1",1,"Wade et al. SC/68d/IA03"
1987,1990,-1,571,0.114703144,"MX_AR","Abs","Yes","0","B2 only",4,"No",1,"Martinez et al 2017"
2003,2006,-1,2352,0.078550832,"MX_AR","Abs","Yes","0","B2 only",4,"No",1,"Martinez et al 2017"
1987,1990,-1,1642,0.204507527,"MX_ML","Abs","Yes","0","B2 only",5,"No",1,"Martinez et al 2017"
2003,2006,-1,4149,0.093428714,"MX_ML","Abs","Yes","0","B2 only",5,"No",1,"Martinez et al 2017"
2004,2006,-1,1269,0.2,"Central_Am","Abs","Yes","0","B2F1",7,"S1",1,"Wade et al. SC/68d/IA03"
2019,2021,-1,1496,0.171,"Central_Am","Abs","Yes","0","All",7,"No",1,"Curtis et al. 2022"
2004,2006,-1,1392,0.23,"RUS+WAL","Abs","Yes","0","B2F1",8,"No",1,"Wade et al. SC/68d/IA03"
2004,2006,-1,6529,0.22,"EAL+BER","Abs","Yes","0","B2F1",9,"No",1,"Wade et al. SC/68d/IA03"
1987,1987,-1,830,0.31,"GOA","Abs","Yes","0","F1 only",10,"No",0,"zerbini et al 2006"
2001,2001,-1,2191,0.34,"GOA","Abs","Yes","0","F1 only",10,"No",0,"zerbini et al 2006"
2002,2002,-1,2137,0.24,"GOA","Abs","Yes","0","F1 only",10,"No",0,"zerbini et al 2006"
2003,2003,-1,2425,0.14,"GOA","Abs","Yes","0","F1 only",10,"No",0,"zerbini et al 2006"
2004,2006,-1,2055,0.08,"GOA","Abs","Yes","0","B2F1",10,"No",0,"Wade et al. SC/68d/IA03"
2004,2006,-1,6187,0.07,"SEA+NBC","Abs","Yes","0","B2F1",12,"No",1,"Wade et al. SC/68d/IA03"
1997,1997,-1,131,0.184045802,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
1998,1998,-1,181,0.165966851,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
1999,1999,-1,243,0.1718107,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2000,2000,-1,255,0.168627451,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2001,2001,-1,305,0.166590164,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2002,2002,-1,362,0.179668508,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2003,2003,-1,439,0.2238041,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2004,2004,-1,608,0.187878289,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2005,2005,-1,810,0.138469136,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2006,2006,-1,671,0.112503726,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2007,2007,-1,1040,0.101269231,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2008,2008,-1,1239,0.101977401,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2009,2009,-1,1245,0.103518072,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2010,2010,-1,1186,0.097681282,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2011,2011,-1,1279,0.114652072,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2012,2012,-1,1560,0.111717949,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2013,2013,-1,1887,0.124843667,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2014,2014,-1,1556,0.125475578,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2015,2015,-1,1586,0.123032787,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2016,2016,-1,1416,0.110225989,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2017,2017,-1,1369,0.080277575,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
2018,2018,-1,1671,0.059269898,"SBC+WA","Abs","Yes","1","All",14,"No",1,"Calambokidis and Barlow 2024"
