Year,Asia_Low,Asia_Base,Asia_High,Hawaii_Low,Hawaii_Base,Hawaii_High,Mexico_Low,Mexico_Base,Mexico_High,MX_AR_Low,MX_AR_Base,MX_AR_High,MX_ML_Low,MX_ML_Base,MX_ML_High,Central_Am_Low,Central_Am_Base,Central_Am_High,RUS+WAL_Low,RUS+WAL_Base,RUS+WAL_High,EAL+BER_Low,EAL+BER_Base,EAL+BER_High,WGOA_Low,WGOA_Base,WGOA_High,NGOA_Low,NGOA_Base,NGOA_High,SEA+NBC_Low,SEA+NBC_Base,SEA+NBC_High,SBC+WA_Low,SBC+WA_Base,SBC+WA_High,OR+CA_Low,OR+CA_Base,OR+CA_High
1965,0,0.6,2,0,0,0,0,0.9,2.7,0,0,0,0,0.9,2.7,0,0.2,0.8,0,0,0,0,0.6,1.6,0,0,0,0,0,0.1,0,3.1,8.5,0,0,0.2,0,0.9,2.9
1966,0,0.7,2.1,0,0,0,0,0.9,2.9,0,0,0,0,0.9,2.9,0,0.3,0.8,0,0,0,0,0.6,1.7,0,0,0,0,0,0.2,0,3.2,8.9,0,0.1,0.2,0,1,3.1
1967,0,0.7,2.3,0,0,0,0,1,3,0,0,0,0,1,3,0,0.3,0.8,0,0,0,0,0.6,1.7,0,0,0,0,0.1,0.2,0,3.3,9.3,0,0.1,0.2,0,1,3.3
1968,0,0.8,2.4,0,0,0,0,1,3.2,0,0,0,0,1,3.2,0,0.3,0.9,0,0,0,0,0.6,1.8,0,0,0,0,0.1,0.3,0,3.5,9.7,0,0.1,0.2,0,1.1,3.5
1969,0,0.8,2.6,0,0,0,0,1.1,3.4,0,0,0,0,1.1,3.3,0,0.3,0.9,0,0,0,0,0.7,1.9,0,0,0,0,0.1,0.3,0,3.6,10.1,0,0.1,0.2,0,1.2,3.8
1970,0,0.9,2.8,0,0,0,0,1.1,3.5,0,0,0,0,1.1,3.5,0,0.3,1,0,0,0,0,0.7,1.9,0,0,0,0,0.1,0.3,0,3.8,10.6,0,0.1,0.3,0,1.4,4.2
1971,0,0.9,3,0,0,0,0,1.2,3.7,0,0,0,0,1.2,3.7,0,0.3,1,0,0,0,0,0.7,2,0,0,0,0,0.1,0.4,0,3.9,11.1,0,0.1,0.3,0,1.5,4.6
1972,0,1,3.2,0,0,0,0,1.3,3.9,0,0,0,0,1.3,3.9,0,0.3,1.1,0,0,0,0,0.8,2.1,0,0,0,0,0.1,0.4,0,4.1,11.6,0,0.1,0.3,0,1.7,5
1973,0,1.1,3.4,0,0,0,0,1.3,4.1,0,0,0,0,1.3,4.1,0,0.4,1.1,0,0,0,0,0.8,2.1,0,0,0,0,0.1,0.4,0,4.3,12.1,0,0.1,0.4,0,2,5.5
1974,0,1.1,3.7,0,0.1,0.1,0,1.4,4.4,0,0,0,0,1.4,4.3,0,0.4,1.2,0,0,0,0,0.8,2.2,0,0,0,0,0.1,0.4,0,4.5,12.7,0,0.1,0.4,0,2.3,6
1975,0,1.2,3.9,0,0.1,0.1,0,1.5,4.6,0,0,0,0,1.5,4.6,0,0.4,1.2,0,0,0,0,0.8,2.2,0,0,0,0,0.2,0.5,0,4.7,13.2,0,0.1,0.4,0,2.5,6.6
1976,0,1.3,4.2,0,0.1,0.1,0,1.6,4.8,0,0,0,0,1.6,4.8,0,0.4,1.3,0,0,0,0,0.8,2.2,0,0,0,0,0.2,0.5,0,4.9,13.8,0,0.2,0.5,0,2.8,7.1
1977,0,1.4,4.5,0,0.1,0.1,0,1.6,5.1,0,0,0,0,1.6,5.1,0,0.4,1.4,0,0,0,0,0.8,2.3,0,0,0,0,0.2,0.5,0,5.2,14.5,0,0.2,0.6,0,3.1,7.7
1978,0,1.5,4.8,0,0.1,0.1,0,1.7,5.4,0,0,0,0,1.7,5.4,0,0.5,1.4,0,0,0,0,0.9,2.4,0,0,0,0,0.2,0.6,0,5.4,15.2,0,0.2,0.6,0,3.4,8.4
1979,0,1.6,5.1,0,0.1,0.1,0,1.8,5.7,0,0,0,0,1.8,5.7,0,0.5,1.5,0,0,0,0,0.9,2.5,0,0,0,0,0.2,0.7,0,5.6,15.9,0,0.2,0.7,0,3.6,9.1
1980,0,1.8,5.5,0,0.1,0.1,0,1.9,6,0,0,0,0,1.9,6,0,0.5,1.6,0,0,0,0,1,2.6,0,0,0,0,0.3,0.8,0,5.9,16.5,0,0.2,0.7,0,3.9,9.7
1981,0,1.9,5.9,0,0.1,0.1,0,2,6.3,0,0,0,0,2,6.3,0,0.5,1.7,0,0,0,0,1,2.7,0,0,0,0,0.3,0.9,0,6.1,17.1,0,0.3,0.8,0,4.1,10.4
1982,0,2,6.3,0,0.1,0.1,0,2.1,6.7,0,0,0,0,2.1,6.7,0,0.6,1.8,0,0,0,0,1,2.8,0,0,0,0,0.4,1.1,0,6.4,18,0,0.3,0.9,0,4.4,11.1
1983,0,2.2,6.7,0,0.1,0.1,0,2.2,7,0,0,0,0,2.2,7,0,0.6,1.8,0,0,0,0,1,2.8,0,0,0,0,0.4,1.3,0,6.8,19,0,0.3,1,0,4.6,11.9
1984,0,2.3,7.2,0,0.1,0.1,0,2.4,7.4,0,0,0,0,2.4,7.4,0,0.6,1.9,0,0,0,0,1,2.8,0,0,0,0,0.5,1.6,0,7.2,20.2,0,0.4,1.1,0,4.9,12.7
1985,0,2.5,7.7,0,0.1,0.1,0,2.5,7.8,0,0,0,0,2.5,7.8,0,0.7,2,0,0,0,0,1,2.8,0,0,0,0,0.6,1.8,0,7.6,21.2,0,0.4,1.2,0,5.1,13.4
1986,0,2.6,8.2,0,0.1,0.1,0,2.6,8.2,0,0,0,0,2.6,8.2,0,0.7,2.1,0,0,0,0,1,2.8,0,0,0,0,0.6,2,0,7.7,21.7,0,0.4,1.4,0,5.3,14.1
1987,0,2.8,8.8,0,0.1,0.1,0,2.8,8.7,0,0,0,0,2.8,8.7,0,0.7,2.2,0,0,0,0,1,2.8,0,0,0,0,0.7,2.2,0,7.9,22.1,0,0.5,1.5,0,5.6,14.9
1988,0,3,9.5,0,0.1,0.1,0,2.9,9.1,0,0,0,0,2.9,9.1,0,0.8,2.3,0,0,0,0,1,2.9,0,0,0,0,0.8,2.4,0,7.9,22.3,0,0.5,1.7,0,5.9,16.1
1989,0,3.2,10.1,0,0.1,0.1,0,3.1,9.6,0,0,0,0,3.1,9.6,0,0.8,2.5,0,0,0,0,1,2.9,0,0,0,0,0.8,2.5,0,8,22.4,0,0.6,1.9,0,6.3,17.3
1990,0,3.5,10.8,0,0.2,0.2,0,3.2,10.1,0,0,0,0,3.2,10.1,0,0.8,2.6,0,0,0,0,1,3,0,0,0,0,0.8,2.6,0,7.9,22.2,0,0.7,2.1,0,6.8,18.8
1991,0,3.7,11.6,0,0.2,0.2,0,3.4,10.7,0,0,0,0,3.4,10.7,0,0.9,2.7,0,0,0,0,1,3.2,0,0,0,0,0.9,2.7,0,7.8,22.1,0,0.7,2.3,0,7.3,20.3
