time,Year,Season,North California (38-42N),Central California (34.5-38N),Southern California (32-34.5N)
,,,Hawaii,,Mexico
1/31/1994,1994,JFM,0.839731305,1.062111735,0.539643931
4/30/1994,1994,AMJ,-0.272528239,-1.338477119,-0.560463603
7/31/1994,1994,JAS,-1.840574326,-3.290026778,-0.068577057
10/31/1994,1994,OND,-2.748399363,-2.419234008,0.282466548
1/31/1995,1995,JFM,6.746667915,7.395090657,2.284368857
4/30/1995,1995,AMJ,1.361071361,1.183674836,-1.098822185
7/31/1995,1995,JAS,2.470909632,-0.136434925,-0.127554823
10/31/1995,1995,OND,0.798473909,-0.660011285,0.108907411
1/31/1996,1996,JFM,3.148234962,2.720291927,0.041825449
4/30/1996,1996,AMJ,-0.098313432,0.083711431,0.676237772
7/31/1996,1996,JAS,-2.123111889,-2.916100618,-0.992543464
10/31/1996,1996,OND,0.540251116,-0.628034239,-0.085031549
1/31/1997,1997,JFM,-1.559731655,-2.172015947,-0.228365525
4/30/1997,1997,AMJ,4.659253704,2.772348953,4.427256747
7/31/1997,1997,JAS,7.064133251,5.625374635,4.36818414
10/31/1997,1997,OND,7.373267179,9.666486506,5.429369652
1/31/1998,1998,JFM,10.05268474,9.776924929,5.538666314
4/30/1998,1998,AMJ,4.909277196,6.093284277,0.484242698
7/31/1998,1998,JAS,-1.606818956,0.345661855,0.192439712
10/31/1998,1998,OND,-3.160229107,-6.172671766,-3.056065501
1/31/1999,1999,JFM,-2.205872145,-5.065314195,-3.559127659
4/30/1999,1999,AMJ,-8.053355393,-8.276120515,-4.266005896
7/31/1999,1999,JAS,-2.941868579,-4.394302627,-3.985252286
10/31/1999,1999,OND,-4.593323143,-5.179095575,-3.466102044
1/31/2000,2000,JFM,-0.301748242,-1.147935784,-2.561360059
4/30/2000,2000,AMJ,1.22785058,0.664384887,-0.502249214
7/31/2000,2000,JAS,-3.877533761,-3.319619352,-1.727088581
10/31/2000,2000,OND,-3.372463434,-3.930168101,-2.063540209
1/31/2001,2001,JFM,-1.625664848,-1.082292409,-1.6502547
4/30/2001,2001,AMJ,-4.985298512,-2.954301656,-1.881673399
7/31/2001,2001,JAS,-4.243676169,-3.984013049,-2.634827314
10/31/2001,2001,OND,-0.752263034,-1.716929478,-1.099856516
1/31/2002,2002,JFM,-2.791242509,-4.940208667,-1.967032839
4/30/2002,2002,AMJ,-4.903262066,-4.207003395,-2.481141877
7/31/2002,2002,JAS,-2.429679109,-2.777499235,-1.462046446
10/31/2002,2002,OND,3.885680828,1.848135973,0.821513195
1/31/2003,2003,JFM,2.445649829,1.560619572,1.860262378
4/30/2003,2003,AMJ,2.159363574,1.173005026,-1.737169296
7/31/2003,2003,JAS,-0.929525769,-0.189871821,-0.852330279
10/31/2003,2003,OND,1.764463442,0.101916315,0.516128661
1/31/2004,2004,JFM,0.461166747,-0.441458137,0.106146948
4/30/2004,2004,AMJ,1.356397339,-0.814863399,0.95918478
7/31/2004,2004,JAS,1.526741361,0.695685085,0.237147619
10/31/2004,2004,OND,-0.195884814,1.599831926,0.705029209
1/31/2005,2005,JFM,4.007538918,6.473918592,3.066618985
4/30/2005,2005,AMJ,6.171842754,3.216367364,1.227730882
7/31/2005,2005,JAS,-1.495277304,-1.164760247,-0.756052888
10/31/2005,2005,OND,0.001664662,-1.760525194,-1.069956682
1/31/2006,2006,JFM,1.530919564,-0.299734366,-1.93356605
4/30/2006,2006,AMJ,4.254933702,5.475957114,1.318369841
7/31/2006,2006,JAS,-1.897232991,0.072741651,1.319977765
10/31/2006,2006,OND,-0.495718995,-0.873481942,0.293538183
1/31/2007,2007,JFM,-4.986065126,-5.557343627,-1.729070086
4/30/2007,2007,AMJ,-3.83932665,-4.895542307,-2.461177462
7/31/2007,2007,JAS,1.190799407,-1.148672753,-0.648551023
10/31/2007,2007,OND,-4.653190359,-6.142999932,-2.789555818
1/31/2008,2008,JFM,-5.217604121,-5.669544112,-2.964668378
4/30/2008,2008,AMJ,-6.599336612,-6.971873621,-1.282877172
7/31/2008,2008,JAS,-0.010154903,0.353751928,0.329455129
10/31/2008,2008,OND,-3.333242487,-2.72734794,-1.578793863
1/31/2009,2009,JFM,-2.597522605,-2.639103761,-2.049300837
4/30/2009,2009,AMJ,-1.336726693,-0.30015373,-0.393683097
7/31/2009,2009,JAS,-0.413081398,-1.648500935,-0.059074593
10/31/2009,2009,OND,0.403114875,-0.561386495,2.075760467
1/31/2010,2010,JFM,5.811308423,4.637728562,3.166394142
4/30/2010,2010,AMJ,-0.809461205,-2.679307469,-1.969348408
7/31/2010,2010,JAS,-3.393238858,-4.682206473,-4.789899202
10/31/2010,2010,OND,-0.53158009,-2.43162276,-2.644976123
1/31/2011,2011,JFM,-2.046704388,-2.598283852,-2.658583243
4/30/2011,2011,AMJ,-1.918063162,-2.149709824,-1.982700104
7/31/2011,2011,JAS,-0.79646663,-0.760658617,-1.959709155
10/31/2011,2011,OND,-4.639558164,-3.283278791,-2.945317135
1/31/2012,2012,JFM,-3.579225829,-4.844567914,-2.038049066
4/30/2012,2012,AMJ,-1.362300934,-3.979586679,-2.198149564
7/31/2012,2012,JAS,-4.003328552,-4.325161997,-0.956898665
10/31/2012,2012,OND,2.851971265,2.350274755,0.315124738
1/31/2013,2013,JFM,-7.35307399,-7.173444376,-2.939414371
4/30/2013,2013,AMJ,-3.693856225,-2.21016663,-0.238147068
7/31/2013,2013,JAS,0.321702033,-0.517097777,-1.418205001
10/31/2013,2013,OND,-6.878002782,-2.986936639,-0.157494722
1/31/2014,2014,JFM,-0.991021383,1.321489908,1.503735659
4/30/2014,2014,AMJ,0.337726532,2.497100876,2.638227605
7/31/2014,2014,JAS,6.51595778,8.302505287,3.276469527
10/31/2014,2014,OND,8.730929275,8.623387726,3.096938213
1/31/2015,2015,JFM,2.875110605,5.422997818,4.078878075
