,MidYear,Jackknife,Winter,Summer,Matches,Abundance,SPLASHabund,BiasFactor,BiasCorrAbund
1,2002,0,1919,1252,166,14406.7485,18365.58015,1.146873653,16522.72028
2,2003,0,3055,3103,519,18242.96923,20941.00883,1.005825468,18349.24306
3,2004,0,4279,3236,721,19189.86427,19878.13056,1.059606684,20333.70844
4,2005,0,5666,3236,913,20071.10832,20071.10832,1.04941888,21063
5,2006,0,5391,2465,661,20086.60725,19787.71429,1.064448359,21381.15613
6,2007,0,5052,2707,600,22768.92679,19548.89143,1.077452401,24532.43483
7,2008,0,3771,2519,404,23471.22222,18639.11765,1.130042763,26523.4848
8,2009,0,3268,2684,346,25295.71182,18363.47908,1.147004874,29014.30473
9,2010,0,2901,2754,333,23938.15569,21435.34316,0.982629475,23522.33736
10,2011,0,3031,2605,291,27060.56164,19367.15686,1.087562834,29430.06111
11,2012,0,3326,2541,306,27548.99349,19760.89252,1.065893151,29364.28348
12,2013,0,3490,2466,274,31318.44364,19983.12761,1.054039208,33010.86753
13,2014,0,4048,2494,358,28140.98607,18954.57411,1.11123573,31271.26921
14,2015,0,3876,2523,332,29387.03003,18223.62197,1.155807557,33965.7514
15,2016,0,4107,2607,395,27055.70707,18504.73748,1.138249058,30796.13308
16,2017,0,4123,2364,356,27321.05602,18299.79925,1.150996233,31446.43256
17,2018,0,5058,2512,553,22949.13538,17856.71208,1.179556455,27069.80078
18,2019,0,5085,2403,522,23379.0956,18249.87164,1.154145104,26982.86872
19,2020,0,4987,2327,501,23132.60159,17810.91411,1.182589499,27356.37174
20,2021,0,4771,2640,573,21957.18815,17578.19944,1.198245592,26310.10392
21,2002,1,1845,1186,154,14137.7871,18261.01667,1.153440708,16307.09916
22,2003,1,2926,2950,482,17884.18219,19153.05543,1.099720098,19667.5946
23,2004,1,4103,3083,659,19177.87273,20091.05714,1.04837689,20105.63856
24,2005,1,5448,3083,835,20102.33493,20102.33493,1.047788731,21063
25,2006,1,5176,2360,613,19907.99837,19280.01735,1.09247827,21749.05562
26,2007,1,4833,2583,549,22712.01091,20245.82334,1.040362728,23628.72963
27,2008,1,3611,2404,378,22921.47493,18250.70588,1.154092348,26453.49882
28,2009,1,3129,2580,313,25728.80255,19189.90736,1.097608217,28240.14508
29,2010,1,2782,2645,296,24795,20861.67422,1.009650509,25034.28438
30,2011,1,2910,2497,269,26933.14074,20659.17614,1.019546949,27459.60147
