year,N,CV
1985,50.1395381,0.216342342
1986,58.21680638,0.343683532
1987,74.95389323,0.115894812
1988,63.72382621,0.214499616
1989,46.20481676,0.041919649
1990,55.83831565,0.230495913
1991,61.65696924,0.031822629
1992,73.03650926,0.273073776
1993,53.44424654,0.144478097
1994,69.82775328,0.112920712
1995,69.71931572,0.071941331
1996,95.4770008,0.2036956
1997,95.29151779,0.032287883
1998,109.7413198,0.076186557
1999,131.3888737,0.1211946
2000,106.409582,0.123516925
2001,122.8894887,0.040335335
2002,103.3483273,0.207279954
2003,141.9787727,0.16399707
2004,165.2828784,0.124543797
2005,174.6409432,0.038650057
2006,170.370714,0.107157242
2007,198.0921909,0.059706973
2008,183.5165625,0.047215196
2009,220.3938768,0.022612473
2010,225.3602833,0.04255564
2011,271.3377718,0.061803335
2012,246.1120703,0.016497114
2013,305.3069753,0.097437163
2014,230.3367048,0.112119218
2015,190.1923647,0.02974455
2016,188.4779579,0.030942688
2017,152.6610135,0.041798549
2018,128.6943626,0.232341368
2019,163.9377016,0.041108596
2020,169.1446786,0.016337923
