Hypothesis,Feeding,Breeding,Method,Direction,Estimate,CV,lowerCI,upperCI,InputData
B1F2,RUS+WAL,Asia,Genetics,BreedingtoFeeding,0.9326,,0.59,0.924,mtDNA
B1F2,RUS+WAL,Hawaii,Genetics,BreedingtoFeeding,0,,0,0.012,mtDNA
B1F2,RUS+WAL,Mexico,Genetics,BreedingtoFeeding,0.0948,,0.032,0.189,mtDNA
B1F2,RUS+WAL,Central_Am,Genetics,BreedingtoFeeding,0.0081,,0,0.311,mtDNA
B1F2,EAL+BER+WGOA,Asia,Genetics,BreedingtoFeeding,0.0023,,0,0.357,mtDNA
B1F2,EAL+BER+WGOA,Hawaii,Genetics,BreedingtoFeeding,0.21,,0,0.468,mtDNA
B1F2,EAL+BER+WGOA,Mexico,Genetics,BreedingtoFeeding,0.6956,,0.526,0.763,mtDNA
B1F2,EAL+BER+WGOA,Central_Am,Genetics,BreedingtoFeeding,0,,0,0.001,mtDNA
B1F2,NGOA,Asia,Genetics,BreedingtoFeeding,0.0651,,0,0.221,mtDNA
B1F2,NGOA,Hawaii,Genetics,BreedingtoFeeding,0.289,,0,0.561,mtDNA
B1F2,NGOA,Mexico,Genetics,BreedingtoFeeding,0,,0,0.1,mtDNA
B1F2,NGOA,Central_Am,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B1F2,SEA+NBC,Asia,Genetics,BreedingtoFeeding,0,,0,0.082,mtDNA
B1F2,SEA+NBC,Hawaii,Genetics,BreedingtoFeeding,0.5006,,0.35,0.666,mtDNA
B1F2,SEA+NBC,Mexico,Genetics,BreedingtoFeeding,0,,0,0.038,mtDNA
B1F2,SEA+NBC,Central_Am,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B1F2,SBC+WA,Asia,Genetics,BreedingtoFeeding,0,,0,0.129,mtDNA
B1F2,SBC+WA,Hawaii,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B1F2,SBC+WA,Mexico,Genetics,BreedingtoFeeding,0.05,,0,0.117,mtDNA
B1F2,SBC+WA,Central_Am,Genetics,BreedingtoFeeding,0,,0,0.002,mtDNA
B1F2,OR+CA,Asia,Genetics,BreedingtoFeeding,0,,0,0.092,mtDNA
B1F2,OR+CA,Hawaii,Genetics,BreedingtoFeeding,0.0003,,0,0.093,mtDNA
B1F2,OR+CA,Mexico,Genetics,BreedingtoFeeding,0.1596,,0.103,0.234,mtDNA
B1F2,OR+CA,Central_Am,Genetics,BreedingtoFeeding,0.9918,,0.689,1,mtDNA
B1F2,RUS+WAL,Asia,Genetics,FeedingtoBreeding,0.6399,,0.493,0.758,mtDNA+usat
B1F2,EAL+BER+WGOA,Asia,Genetics,FeedingtoBreeding,0.1031,,0.064,0.154,mtDNA+usat
B1F2,NGOA,Asia,Genetics,FeedingtoBreeding,0.0456,,0.013,0.087,mtDNA+usat
B1F2,SEA+NBC,Asia,Genetics,FeedingtoBreeding,0,,0,0.007,mtDNA+usat
B1F2,SBC+WA,Asia,Genetics,FeedingtoBreeding,0,,0,0.083,mtDNA+usat
B1F2,OR+CA,Asia,Genetics,FeedingtoBreeding,0,,0,0.033,mtDNA+usat
B1F2,RUS+WAL,Hawaii,Genetics,FeedingtoBreeding,0.2067,,0.068,0.323,mtDNA+usat
B1F2,EAL+BER+WGOA,Hawaii,Genetics,FeedingtoBreeding,0.4715,,0.378,0.533,mtDNA+usat
B1F2,NGOA,Hawaii,Genetics,FeedingtoBreeding,0.7402,,0.637,0.798,mtDNA+usat
B1F2,SEA+NBC,Hawaii,Genetics,FeedingtoBreeding,0.9964,,0.972,1,mtDNA+usat
B1F2,SBC+WA,Hawaii,Genetics,FeedingtoBreeding,0.38,,0.185,0.516,mtDNA+usat
B1F2,OR+CA,Hawaii,Genetics,FeedingtoBreeding,0.0189,,0,0.103,mtDNA+usat
B1F2,RUS+WAL,Mexico,Genetics,FeedingtoBreeding,0.1533,,0.029,0.319,mtDNA+usat
B1F2,EAL+BER+WGOA,Mexico,Genetics,FeedingtoBreeding,0.3647,,0.291,0.466,mtDNA+usat
B1F2,NGOA,Mexico,Genetics,FeedingtoBreeding,0.1954,,0.135,0.294,mtDNA+usat
B1F2,SEA+NBC,Mexico,Genetics,FeedingtoBreeding,0.0036,,0,0.026,mtDNA+usat
B1F2,SBC+WA,Mexico,Genetics,FeedingtoBreeding,0.3893,,0.257,0.726,mtDNA+usat
B1F2,OR+CA,Mexico,Genetics,FeedingtoBreeding,0.3805,,0.311,0.654,mtDNA+usat
B1F2,RUS+WAL,Central_Am,Genetics,FeedingtoBreeding,0.0001,,0,0.085,mtDNA+usat
B1F2,EAL+BER+WGOA,Central_Am,Genetics,FeedingtoBreeding,0.0607,,0.017,0.109,mtDNA+usat
B1F2,NGOA,Central_Am,Genetics,FeedingtoBreeding,0.0187,,0,0.058,mtDNA+usat
B1F2,SEA+NBC,Central_Am,Genetics,FeedingtoBreeding,0,,0,0.005,mtDNA+usat
B1F2,SBC+WA,Central_Am,Genetics,FeedingtoBreeding,0.2307,,0,0.334,mtDNA+usat
B1F2,OR+CA,Central_Am,Genetics,FeedingtoBreeding,0.6006,,0.318,0.646,mtDNA+usat
B2F1,RUS+WAL,Asia,Genetics,BreedingtoFeeding,0.872,,0.564,0.902,mtDNA
B2F1,RUS+WAL,Hawaii,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B2F1,RUS+WAL,MX_AR,Genetics,BreedingtoFeeding,0.1359,,0.025,0.268,mtDNA
B2F1,RUS+WAL,MX_ML,Genetics,BreedingtoFeeding,0.1452,,0.012,0.28,mtDNA
B2F1,RUS+WAL,Central_Am,Genetics,BreedingtoFeeding,0.0079,,0,0.314,mtDNA
B2F1,EAL+BER,Asia,Genetics,BreedingtoFeeding,0.128,,0,0.387,mtDNA
B2F1,EAL+BER,Hawaii,Genetics,BreedingtoFeeding,0.3835,,0.065,0.488,mtDNA
B2F1,EAL+BER,MX_AR,Genetics,BreedingtoFeeding,0.3915,,0.032,0.737,mtDNA
B2F1,EAL+BER,MX_ML,Genetics,BreedingtoFeeding,0.2886,,0.0001,0.446,mtDNA
B2F1,EAL+BER,Central_Am,Genetics,BreedingtoFeeding,0,,0,0.001,mtDNA
B2F1,GOA,Asia,Genetics,BreedingtoFeeding,0,,0,0.23,mtDNA
B2F1,GOA,Hawaii,Genetics,BreedingtoFeeding,0.0294,,0,0.404,mtDNA
B2F1,GOA,MX_AR,Genetics,BreedingtoFeeding,0.4595,,0.094,0.749,mtDNA
B2F1,GOA,MX_ML,Genetics,BreedingtoFeeding,0,,0,0.327,mtDNA
B2F1,GOA,Central_Am,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B2F1,SEA+NBC,Asia,Genetics,BreedingtoFeeding,0,,0,0.079,mtDNA
B2F1,SEA+NBC,Hawaii,Genetics,BreedingtoFeeding,0.5871,,0.451,0.689,mtDNA
B2F1,SEA+NBC,MX_AR,Genetics,BreedingtoFeeding,0,,0,0.072,mtDNA
B2F1,SEA+NBC,MX_ML,Genetics,BreedingtoFeeding,0.0452,,0,0.084,mtDNA
B2F1,SEA+NBC,Central_Am,Genetics,BreedingtoFeeding,0,,0,0,mtDNA
B2F1,SBC+WA,Asia,Genetics,BreedingtoFeeding,0,,0,0.123,mtDNA
B2F1,SBC+WA,Hawaii,Genetics,BreedingtoFeeding,0,,0,0.001,mtDNA
B2F1,SBC+WA,MX_AR,Genetics,BreedingtoFeeding,0.0132,,0,0.064,mtDNA
B2F1,SBC+WA,MX_ML,Genetics,BreedingtoFeeding,0.1052,,0,0.21,mtDNA
B2F1,SBC+WA,Central_Am,Genetics,BreedingtoFeeding,0,,0,0.002,mtDNA
B2F1,OR+CA,Asia,Genetics,BreedingtoFeeding,0,,0,0.09,mtDNA
B2F1,OR+CA,Hawaii,Genetics,BreedingtoFeeding,0,,0,0.08,mtDNA
B2F1,OR+CA,MX_AR,Genetics,BreedingtoFeeding,0,,0,0.031,mtDNA
B2F1,OR+CA,MX_ML,Genetics,BreedingtoFeeding,0.4158,,0.268,0.548,mtDNA
B2F1,OR+CA,Central_Am,Genetics,BreedingtoFeeding,0.992,,0.685,1,mtDNA
B2F1,RUS+WAL,Asia,Genetics,FeedingtoBreeding,0.6314,,0.488,0.75,mtDNA+usat
B2F1,EAL+BER,Asia,Genetics,FeedingtoBreeding,0.1173,,0.068,0.178,mtDNA+usat
B2F1,GOA,Asia,Genetics,FeedingtoBreeding,0.0596,,0.029,0.105,mtDNA+usat
B2F1,SEA+NBC,Asia,Genetics,FeedingtoBreeding,0,,0,0.008,mtDNA+usat
B2F1,SBC+WA,Asia,Genetics,FeedingtoBreeding,0,,0,0.154,mtDNA+usat
