Year1,Year2,UseVarCo,VarCo,Estimate,CV,Area,abs/rel,Use,Add CV,Hypothesis,Class,Exclude,Component,Reference,Reviewed by ASI?,Notes
2002,2002,Yes,1,16875,0.352888889,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2003,2003,Yes,1,19065,0.156359822,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2004,2004,Yes,1,19340,0.156514995,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2005,2005,Yes,1,21063,0.040022789,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2006,2006,Yes,1,21095,0.126096231,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2007,2007,Yes,1,24915,0.123660446,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2008,2008,Yes,1,26456,0.11248866,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2009,2009,Yes,1,26455,0.165148365,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2010,2010,Yes,1,23007,0.18811666,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2011,2011,Yes,1,29636,0.164833311,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2012,2012,Yes,1,33488,0.133032728,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2013,2013,Yes,1,31701,0.195356613,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2014,2014,Yes,1,31243,0.154754665,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2015,2015,Yes,1,33260,0.156313891,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2016,2016,Yes,1,29852,0.110210371,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2017,2017,Yes,1,28429,0.222273031,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2018,2018,Yes,1,26731,0.125023381,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2019,2019,Yes,1,25671,0.172451404,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2020,2020,Yes,1,28706,0.164181704,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
2021,2021,Yes,1,26662,0.157227515,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,No,New estimates from Ted's published paper
1990,1993,No,2,400,0.12,Asia,Abs,Yes,No,All,9,No,1,Calambokidis et al. 1997,No,
2004,2006,No,2,1110,0.09,Asia,Abs,Yes,No,B1F1,9,S1,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,1114,0.09,Asia,Abs,Yes,No,B1F2,9,S1,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,1107,0.09,Asia,Abs,Yes,No,B2F1,9,S1,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,1112,0.09,Asia,Abs,Yes,No,B2F2,9,S1,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,1907,0.17,Asia,Abs,S1,No,All,9,No,1,Wade et al. SC/68D/IA3,No,no is chau estimator 
1980,1983,No,2,1407,0.1,Hawaii,Abs,Yes,No,All,9,No,1,Baker and Herman 1987,No,based on Maui only data
1991,1993,No,2,4629,0.13,Hawaii,Abs,Yes,No,All,9,No,1,Calambokidis and Barlow 2017 A17/NP10,No,
2004,2006,No,2,11501,0.04,Hawaii,Abs,Yes,No,B1F1,9,S1,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,11540,0.04,Hawaii,Abs,Yes,No,B1F2,9,S1,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,11998,0.04,Hawaii,Abs,Yes,No,B2F1,9,S1,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,12021,0.04,Hawaii,Abs,Yes,No,B2F2,9,S1,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,9920,0.09,Hawaii,Abs,S1,No,All,9,No,1,Wade et al. SC/68D/IA3,,
1987,1990,No,2,571,0.114703144,MX_AR,Abs,Yes,No,B2 only,9,No,1,Martinez et al 2017,No,
2003,2006,No,2,2352,0.078550832,MX_AR,Abs,Yes,No,B2 only,9,No,1,Martinez et al 2017,No,
2004,2006,No,2,788,0.09,MX_AR,Abs,No,No,B2F1-no,9,No,1,Wade et al. SC/68d/IA03,No,Maybe use 
2004,2006,No,2,781,0.09,MX_AR,Abs,No,No,B2F2-no,9,No,1,Wade et al. SC/68d/IA03,No,
1987,1990,No,2,1642,0.204507527,MX_ML,Abs,Yes,No,B2 only,9,No,1,Martinez et al 2017,No,
2003,2006,No,2,4149,0.093428714,MX_ML,Abs,Yes,No,B2 only,9,No,1,Martinez et al 2017,No,
2004,2006,No,2,891,0.14,MX_ML,Abs,No,No,B2F1-no,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,804,0.15,MX_ML,Abs,No,No,B2F2-no,9,No,1,Wade et al. SC/68d/IA03,No,
1987,1990,No,2,1964,0.106580541,Mexico,Abs,Yes,No,B1 only,9,No,1,Martinez et al 2017,No,same as jorges
2003,2006,No,2,8168,0.054576527,Mexico,Abs,Yes,No,B1 only,9,No,1,Martinez et al 2017,No,
2004,2006,No,2,2943,0.07,Mexico,Abs,No,No,B1F1,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,2821,0.08,Mexico,Abs,No,No,B1F2,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,750,0.24,Central_Am,Abs,Yes,No,B1F1,9,S1,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,857,0.27,Central_Am,Abs,Yes,No,B1F2,9,S1,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,1269,0.2,Central_Am,Abs,Yes,No,B2F1,9,S1,1,Wade et al. SC/68d/IA03,No,used different data than Curtis
2004,2006,No,2,1356,0.2,Central_Am,Abs,Yes,No,B2F2,9,S1,1,Wade et al. SC/68d/IA03,No,used different data than Curtis
2004,2006,No,2,563,0.38,Central_Am,Abs,S1,No,All,9,No,1,Wade et al. SC/68D/IA3,,
2019,2021,No,2,1496,0.171,Central_Am,Abs,Yes,No,All,9,No,1,Curtis et al. 2022,No,
2004,2006,No,2,1382,0.23,RUS+WAL,Abs,Yes,No,B1F1,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,1399,0.23,RUS+WAL,Abs,Yes,No,B1F2,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,1392,0.23,RUS+WAL,Abs,Yes,No,B2F1,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,1408,0.23,RUS+WAL,Abs,Yes,No,B2F2,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,7947,0.21,EAL+BER,Abs,Yes,No,B1F1,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,5983,0.15,EAL+BER+WGOA,Abs,Yes,No,B1F2,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,6529,0.22,EAL+BER,Abs,Yes,No,B2F1,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,5241,0.13,EAL+BER+WGOA,Abs,Yes,No,B2F2,9,No,1,Wade et al. SC/68d/IA03,No,
1987,1987,No,2,830,0.31,GOA,Abs,Yes,No,F1 only,9,No,0,zerbini et al 2006,No,
2001,2001,No,2,2191,0.34,GOA,Abs,Yes,No,F1 only,9,No,0,zerbini et al 2006,No,
2002,2002,No,2,2137,0.24,GOA,Abs,Yes,No,F1 only,9,No,0,zerbini et al 2006,No,
2003,2003,No,2,2425,0.14,GOA,Abs,Yes,No,F1 only,9,No,0,zerbini et al 2006,No,
2004,2006,No,2,2140,0.08,GOA,Abs,Yes,No,B1F1,9,No,0,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,2055,0.08,GOA,Abs,Yes,No,B2F1,9,No,0,Wade et al. SC/68d/IA03,No,
1987,1987,No,2,616,0.367955058,NGOA,Abs,Yes,No,F2 only,9,No,0,zerbini et al 2006 paul,No,"Missing very eastern portion of NGOA, and PWS, but maybe is close enough to be absolute"
2001,2001,No,2,1701,0.41211433,NGOA,Abs,Yes,No,F2 only,9,No,0,zerbini et al 2006 paul,No,
2002,2002,No,2,1544,0.265186145,NGOA,Abs,Yes,No,F2 only,9,No,0,zerbini et al 2006 paul,No,
2003,2003,No,2,1931,0.119564544,NGOA,Abs,Yes,No,F2 only,9,No,0,zerbini et al 2006 paul,No,
2004,2006,No,2,1747,0.1,NGOA,Abs,Yes,No,B1F2,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,1650,0.1,NGOA,Abs,Yes,No,B2F2,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,5925,0.07,SEA+NBC,Abs,Yes,No,B1F1,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,5828,0.07,SEA+NBC,Abs,Yes,No,B1F2,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,6187,0.07,SEA+NBC,Abs,Yes,No,B2F1,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,6038,0.07,SEA+NBC,Abs,Yes,No,B2F2,9,No,1,Wade et al. SC/68d/IA03,No,
2004,2006,No,2,364,0.25,SBC+WA,Abs,No,No,B1F1,9,No,1,Wade et al. SC/68d/IA03,No,Already in Calambokidis (not used)
2004,2006,No,2,366,0.27,SBC+WA,Abs,No,No,B1F2,9,No,1,Wade et al. SC/68d/IA03,No,Already in Calambokidis (not used)
2004,2006,No,2,328,0.25,SBC+WA,Abs,No,No,B2F1,9,No,1,Wade et al. SC/68d/IA03,No,Already in Calambokidis (not used)
2004,2006,No,2,355,0.31,SBC+WA,Abs,No,No,B2F2,9,No,1,Wade et al. SC/68d/IA03,No,Already in Calambokidis (not used)
1997,1997,No,2,131,0.184045802,SBC+WA,Abs,Yes,1,All,9,No,1,Calambokidis and Barlow 2020,No,
1998,1998,No,2,181,0.165966851,SBC+WA,Abs,Yes,1,All,9,No,1,Calambokidis and Barlow 2020,No,
