Year1,Year2,VarCo,Estimate,CV,Area,abs/rel,Use,Add CV,Hypothesis,Index,Exclude,Component,Reference,Reviewed by ASI?
2002,2002,1,16875,0.165093612,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2003,2003,1,19065,0.089263265,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2004,2004,1,19340,0.072297801,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2005,2005,1,21063,0.039984014,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2006,2006,1,21095,0.075697659,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2007,2007,1,24915,0.080437572,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2008,2008,1,26456,0.098305401,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2009,2009,1,26455,0.100951669,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2010,2010,1,23007,0.105570883,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2011,2011,1,29636,0.104315019,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2012,2012,1,33488,0.112164278,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2013,2013,1,31701,0.104510745,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2014,2014,1,31243,0.095147257,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2015,2015,1,33260,0.104092715,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2016,2016,1,29852,0.098255144,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2017,2017,1,28429,0.100628339,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2018,2018,1,26731,0.088665383,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2019,2019,1,25671,0.079730589,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2020,2020,1,28706,0.087599409,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
2021,2021,1,26662,0.081742567,Total,Abs,Yes,No,All,1,No,0,Cheeseman et al 2024,Yes
1990,1993,-1,391,0.179,Asia,Abs,Yes,No,All,2,No,1,Calambokidis et al. 1997,Yes
2004,2006,-1,1110,0.09,Asia,Abs,Yes,No,B1F1,2,S1,1,Wade et al. SC/68d/IA03,Yes
2004,2006,-1,1114,0.09,Asia,Abs,Yes,No,B1F2,2,S1,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,1107,0.09,Asia,Abs,Yes,No,B2F1,2,S1,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,1112,0.09,Asia,Abs,Yes,No,B2F2,2,S1,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,1907,0.17,Asia,Abs,S1,No,All,2,No,1,Wade et al. SC/68D/IA3,No
1980,1983,-1,1407,0.1,Hawaii,Abs,Yes,No,All,3,No,1,Baker and Herman 1987,Yes
1991,1993,-1,4000,0.08,Hawaii,Abs,Yes,No,All,3,No,1,Calambokidis and Barlow 2017 A17/NP10,Yes
2004,2006,-1,7658,0.06,Hawaii,Abs,No?,No,All,3,No,1,Calambokidis and Barlow 2017 A17/NP10,Yes
2004,2006,-1,11501,0.04,Hawaii,Abs,Yes,No,B1F1,3,S1,1,Wade et al. SC/68d/IA03,Yes
