Year,HIabun,Hise,MXabun,MXse
2002,10631,2650,2990,367
2003,10309,996,3003,298
2004,9853,534,3457,316
2005,10625,697,4154,502
2006,11927,706,3515,487
2007,14314,1127,3971,430
2008,14312,1479,4088,459
2009,16275,1338,4627,411
2010,13309,1703,4798,536
2011,14888,2291,5450,502
2012,18275,2572,5596,453
2013,18728,1914,5534,478
2014,16597,1872,6682,612
2015,14395,1203,7313,500
2016,13327,986,7296,484
2017,12647,1070,6885,404
2018,12167,730,6885,337
2019,12094,588,6879,444
2020,12999,566,7042,472
2021,12294,492,8281,414
